PN_order,method,degree,sigma_power,holdout_cut,a_known_min,a_known_max,n_train,n_hidden,status,error,n_eval,nrmse_Ebind,nrmse_chi,nrmse_S,bias_S,max_abs_residual_S,stability_score
0PN,Taylor,2,1.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.517376121616268e-07,0.40990763570382016,0.4517237516229148,-0.01883012830208296,0.030915277459451218,0.8616317390643471
0PN,Taylor,2,2.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.5173769350203e-07,0.31959285977158264,0.3514422532131115,-0.01450200214214287,0.024783699848892837,0.6710354647223877
0PN,Taylor,2,3.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.517376741907592e-07,0.24934322851125376,0.27368097029570193,-0.011171607750290245,0.019859590992791,0.5230245505446298
0PN,Taylor,2,4.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.5173760091263335e-07,0.19451263577250444,0.21315029810335104,-0.008602358112874534,0.015893722505454733,0.4076632856134564
0PN,Taylor,3,1.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.5173763630049547e-07,0.07290419629689113,0.07948268891227617,0.003150379358631114,0.006233399802042072,0.1523872369468036
0PN,Taylor,3,2.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.517376491123089e-07,0.05745372389394264,0.06260071867970911,0.002451479908312268,0.005026598962279749,0.12005479431130087
0PN,Taylor,3,3.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.5173743967358344e-07,0.04532785429040813,0.049360068790739765,0.0019095454083208222,0.004053010673878532,0.09468827481858758
0PN,Taylor,3,4.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.517376628832078e-07,0.035779965160815635,0.038941271972073234,0.0014881702859258486,0.0032661181596491673,0.07472158887055175
0PN,Taylor,4,1.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.5173770094655426e-07,0.013363110886038207,0.014537735923005975,-0.0005443588236478485,0.001274066866400858,0.02790119854674513
0PN,Taylor,4,2.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.517375427073758e-07,0.010600925591266649,0.011525770703287183,-0.00042635953557744255,0.0010289890125232404,0.022127048032096537
0PN,Taylor,4,3.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.5173764637922754e-07,0.00841652553050698,0.00914569311853153,-0.0003342757075072829,0.0008310855267570361,0.01756257038668489
0PN,Taylor,4,4.0,11.0,10.0,23.661234717926032,3327,414,success,,2000,3.5173758313162894e-07,0.006686073809676845,0.007261572252461194,-0.00026228763118841235,0.0006711596107322748,0.013947997799721171
0PN,Taylor,2,1.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399373817855044e-07,0.3172408115183138,0.3380196389917407,-0.02720902630179181,0.05612655069303685,0.6552606345037927
0PN,Taylor,2,2.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399381142718723e-07,0.26866306944460877,0.28548773715552395,-0.022693377545615036,0.04844171707397571,0.5541509905939441
0PN,Taylor,2,3.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399385066909386e-07,0.22764587000906214,0.24131818336117258,-0.01894271739406684,0.04179631834749742,0.4689642373640854
0PN,Taylor,2,4.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399378246253066e-07,0.1928562291570268,0.20399604763667484,-0.01581399393806038,0.036029846349324046,0.3968524607874841
0PN,Taylor,3,1.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399386651094673e-07,0.06980690012949901,0.07295016914187244,0.005422326825421825,0.013952618325246746,0.14275725326523797
0PN,Taylor,3,2.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399384406284528e-07,0.05959668360499909,0.06224303984808115,0.004570922344529076,0.012097496388332019,0.1218399074469243
0PN,Taylor,3,3.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399379686854226e-07,0.050903909885895444,0.05313379334408486,0.003856201211009848,0.010487217190856768,0.10403788722377719
0PN,Taylor,3,4.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399386842056787e-07,0.04348664144427671,0.045366556070243876,0.0032547771503661097,0.009087691543991028,0.088853381508389
0PN,Taylor,4,1.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399370496552204e-07,0.01584893106585775,0.016519119795112103,-0.0011357465352331956,0.003542815925067444,0.03236823485467482
0PN,Taylor,4,2.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399370755499793e-07,0.01358898508654806,0.014154302774746316,-0.0009629256103393606,0.0030732067452916567,0.02774347185500193
0PN,Taylor,4,3.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.839938967076482e-07,0.011654889045614656,0.01213227845841382,-0.0008169110199470282,0.0026657948862762737,0.023787351497925185
0PN,Taylor,4,4.0,12.0,10.0,23.661234717926032,2949,792,success,,2000,1.8399383605252114e-07,0.009998152961055514,0.010401668286713564,-0.000693386441170663,0.0023121793776983424,0.02040000524160513
0PN,Taylor,2,1.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.2801554779967758e-07,0.29592838625951884,0.3045888592232684,-0.035900184121108965,0.08603710421169986,0.600517373498335
0PN,Taylor,2,2.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.2801554904380786e-07,0.2635581056808456,0.270530749833944,-0.03152742115308139,0.07759683051428468,0.5340889835303386
0PN,Taylor,2,3.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.2801554235578886e-07,0.23478280876993435,0.24039061566038658,-0.027706010553586898,0.06997267810864649,0.4751735524458633
0PN,Taylor,2,4.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.2801553343899415e-07,0.2091047746327173,0.2136051117539518,-0.024352683722722427,0.06306332281115345,0.42271001440220257
0PN,Taylor,3,1.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.2801555557930441e-07,0.07512936464790648,0.07517055384181243,0.008060705964154598,0.024491840223754835,0.15030004650527448
0PN,Taylor,3,2.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.2801547175879645e-07,0.06728655996480988,0.06729345264833644,0.007145091457789164,0.02217687088682041,0.1345801406286181
0PN,Taylor,3,3.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.2801563914904838e-07,0.06027465670820492,0.06025452895203539,0.006336492070983979,0.020078059362614198,0.12052931367587946
0PN,Taylor,3,4.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.2801559562761199e-07,0.05399680007280069,0.0539556455203721,0.005621170559553488,0.018173531129997755,0.10795257360876842
0PN,Taylor,4,1.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.280156854222072e-07,0.01967314225172628,0.019644261045936195,-0.0019282883082258832,0.007205575850957047,0.0393175313133479
0PN,Taylor,4,2.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.280154275386085e-07,0.01767104623560204,0.017634098263791816,-0.0017169180913435983,0.006524176979651131,0.03530527251482139
0PN,Taylor,4,3.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.2801564736385165e-07,0.015874854238831396,0.015832266359486067,-0.0015292594334725589,0.005907142232024043,0.03170724861396483
0PN,Taylor,4,4.0,13.0,10.0,23.661234717926032,2601,1140,success,,2000,1.2801532529330227e-07,0.014262532698759446,0.014216233205359547,-0.0013625132812885444,0.005348205740896006,0.028478893919444286
