PN_order,method,degree,sigma_power,holdout_cut,a_known_min,a_known_max,n_train,n_hidden,status,error,n_eval,nrmse_Ebind,nrmse_chi,nrmse_S,bias_S,max_abs_residual_S,stability_score
0PN,Taylor,2,1.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.517375960019732e-07,0.7442155478697009,0.8638447398635127,-0.026140503191099423,0.040652221008818046,1.6080606394708097
0PN,Taylor,2,2.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.5173764850528294e-07,0.5221481373660997,0.6039064625022735,-0.018071087455958573,0.02953961022260465,1.1260549516060216
0PN,Taylor,2,3.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.517376280384204e-07,0.3662120244626487,0.42233870672281465,-0.012481930949006704,0.021433342412787937,0.7885510829230914
0PN,Taylor,2,4.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.5173764393132604e-07,0.2571831784373829,0.29591244078468903,-0.00862910732025469,0.015549564785594328,0.5530959709597159
0PN,Taylor,3,1.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.5173758860240193e-07,0.15977644856123016,0.18282096085046778,0.005304266173616461,0.009816165249016962,0.34259776114928653
0PN,Taylor,3,2.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.51737663292947e-07,0.11369897836192662,0.13003784632799623,0.00371984371150356,0.007207093601403258,0.24373717642758613
0PN,Taylor,3,3.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.517375332523125e-07,0.08100899679484494,0.09260198174157482,0.0026106724665077587,0.005287019465692211,0.173611330273953
0PN,Taylor,3,4.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.5173765549992675e-07,0.057706682534846135,0.06592893335104191,0.0018313920071446077,0.0038706155187266944,0.12363596762354355
0PN,Taylor,4,1.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.517376318570848e-07,0.03527798641185967,0.04033615720465879,-0.0011125934075123611,0.0024206728038347336,0.07561449535415031
0PN,Taylor,4,2.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.517376812485109e-07,0.02532987656506341,0.028936990943004382,-0.0007863811631298123,0.0017808263117089496,0.05426721924574904
0PN,Taylor,4,3.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.5173757861604166e-07,0.01820974897785726,0.020787176453302504,-0.0005566009751620458,0.0013100015457396808,0.03899727716873838
0PN,Taylor,4,4.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,3.5173765018793395e-07,0.013098099121531065,0.014941897303112838,-0.0003942654153901728,0.000963035181282379,0.02804034816229409
0PN,Taylor,2,1.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.8399373644082043e-07,0.5586586953838751,0.6277775846147647,-0.03710212427283768,0.07151209798562519,1.1864364639923763
0PN,Taylor,2,2.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.8399381690131436e-07,0.4325463883707675,0.4837522271451804,-0.028145324556892136,0.05682942213694275,0.9162987995097648
0PN,Taylor,2,3.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.8399388317179845e-07,0.3349567072200215,0.37311171945939753,-0.021363814444831868,0.04511437010845576,0.7080686106733023
0PN,Taylor,2,4.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.8399381289039376e-07,0.25939366275164755,0.2879652713489371,-0.016224953236974565,0.03577712263740018,0.5473591180943975
0PN,Taylor,3,1.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.8399386360423795e-07,0.1463705409765815,0.16033326345423404,0.008828908114931122,0.02097821144039891,0.30670398842467916
0PN,Taylor,3,2.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.839937589831732e-07,0.11471519232218526,0.12560296851526484,0.006805710339266775,0.016828046009413455,0.24031834483120906
0PN,Taylor,3,3.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.8399375553675801e-07,0.08996293321978362,0.0984539127423712,0.005251103610947857,0.013488155307822325,0.18841702995591036
0PN,Taylor,3,4.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.8399384409581112e-07,0.0705282458623559,0.07714554084772585,0.0040516838414586835,0.010794602946290865,0.14767397070392585
0PN,Taylor,4,1.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.8399381178726345e-07,0.03957729827801791,0.04335267910854867,-0.002217940329974456,0.0063707091656617365,0.08293016138037837
0PN,Taylor,4,2.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.8399372389408671e-07,0.031220446834436776,0.034162240999725264,-0.0017224933358745496,0.005111332578435324,0.06538287182788594
0PN,Taylor,4,3.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,1.8399379296910367e-07,0.024641654443336016,0.026937819405014465,-0.0013391865664842042,0.004100477746579401,0.05157965784214345
