PN_order,method,degree,sigma_power,holdout_cut,a_known_min,a_known_max,n_train,n_hidden,status,error,n_eval,nrmse_Ebind,nrmse_chi,nrmse_S,bias_S,max_abs_residual_S,stability_score
1PN,Taylor,2,1.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,0.054696831034167386,0.26632289892238054,0.28098667118844173,-0.013965552961523188,0.024699745213997204,0.6020064011449897
1PN,Taylor,2,2.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,0.04764986209578328,0.2259281985457779,0.2381277735600594,-0.011731209224700489,0.021386551892870642,0.5117058342016205
1PN,Taylor,2,3.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,0.041544492592538194,0.19181596117395108,0.20199467920185518,-0.009860652162618421,0.01851873948481142,0.4353551329683445
1PN,Taylor,2,4.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,0.03623668921327242,0.16291103832821008,0.17142336935457927,-0.008290338361659301,0.01602917520429692,0.37057109689606177
1PN,Taylor,3,1.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,0.001912230928193843,0.03855593772767569,0.03975264695599235,0.001860289940041115,0.0040090309426119575,0.08022081561186188
1PN,Taylor,3,2.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,0.0016692584233039323,0.032956544829488586,0.033961155186861755,0.0015739014365474917,0.0034811683885216382,0.06858695843965427
1PN,Taylor,3,3.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,0.0014581047760652535,0.028189193051029772,0.029033479819002898,0.0013325671507916877,0.00302292714428809,0.05868077764609792
1PN,Taylor,3,4.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,0.0012742779683449718,0.02412310512996003,0.024833306079410398,0.00112887746177395,0.00262475403505924,0.0502306891777154
1PN,Taylor,4,1.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,2.668331915609228e-07,0.005803403901664039,0.005984401165514134,-0.00026269229354434386,0.0006740118164803022,0.011788071900369734
1PN,Taylor,4,2.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,2.668329241271097e-07,0.0049833872239889,0.005136776998980352,-0.00022339880130308566,0.0005859242452714852,0.01012043105589338
1PN,Taylor,4,3.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,2.668330196163202e-07,0.004281036505258758,0.004411159185823273,-0.00019009446949405805,0.0005093684791823705,0.008692462524101647
1PN,Taylor,4,4.0,11.0,10.0,19.41014603514319,2467,414,success,,2000,2.6683321452311e-07,0.003678939597741261,0.003789420647133156,-0.00016183819924188024,0.00044281168558768513,0.00746862707808894
1PN,Taylor,2,1.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,0.04263830460190149,0.21251566942886932,0.21663098505054787,-0.02066264694385085,0.046756520463477,0.4717849590813187
1PN,Taylor,2,2.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,0.03940573265079348,0.1926839409792474,0.1961637157369485,-0.018540068316011148,0.04291302817439124,0.42825338936698937
1PN,Taylor,2,3.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,0.036430864325183096,0.17476815714851315,0.17771544729985186,-0.016645281989124416,0.039384725766224093,0.38891446877354807
1PN,Taylor,2,4.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,0.03368552428929072,0.15853806519450964,0.16103787077776988,-0.014949219193189861,0.03613851333488505,0.35326146026157024
1PN,Taylor,3,1.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,0.0018628098113770322,0.03867921127518124,0.038303083467056354,0.0033450411719199184,0.009513058717168121,0.07884510455361463
1PN,Taylor,3,2.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,0.0017227563422929134,0.03523625904910654,0.034877266867871945,0.0030211503180988153,0.008747491168227484,0.0718362822592714
1PN,Taylor,3,3.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,0.0015935639091349848,0.032106710358229415,0.031765231408264274,0.0027297171851641366,0.008043317310526987,0.06546550567562867
1PN,Taylor,3,4.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,0.0014742803017663562,0.029259417663341877,0.02893555344831402,0.002467196421018544,0.00739526806628632,0.059669251413422254
1PN,Taylor,4,1.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,1.4214466261247083e-07,0.007308213299317959,0.007229748734190375,-0.0005814033452822391,0.00201088785757797,0.014538104178170946
1PN,Taylor,4,2.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,1.4214428506614862e-07,0.006674933168747847,0.00660081618475713,-0.0005271846597779062,0.0018498479987965055,0.013275891497790043
1PN,Taylor,4,3.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,1.4214442361751505e-07,0.0060973095559218,0.00602745376594334,-0.00047815386289494646,0.0017017056409596165,0.01212490546628876
1PN,Taylor,4,4.0,12.0,10.0,19.41014603514319,2089,792,success,,2000,1.4214496659271804e-07,0.005570252542019605,0.005504542243328005,-0.0004337890129689166,0.0015654016448287678,0.011074936930314201
